unique_id,ds,Open,High,Low,Close
QQQ,2026-01-02 04:00:00,616.6115,619.9574,616.6115,619.8175
QQQ,2026-01-02 04:01:00,619.8175,620.227,619.7976,620.1172
QQQ,2026-01-02 04:02:00,620.1471,620.1971,620.0373,620.0972
QQQ,2026-01-02 04:03:00,620.0872,620.1271,619.9074,619.9374
QQQ,2026-01-02 04:04:00,619.9673,620.0173,619.9374,619.9673
QQQ,2026-01-02 04:05:00,620.0273,620.1072,620.0173,620.0772
QQQ,2026-01-02 04:06:00,620.0572,620.1271,620.0572,620.0772
QQQ,2026-01-02 04:07:00,620.0572,620.0572,619.9474,619.9474
QQQ,2026-01-02 04:08:00,619.9673,620.2869,619.9673,620.267
QQQ,2026-01-02 04:09:00,620.277,620.277,620.1771,620.1971
QQQ,2026-01-02 04:10:00,620.1971,620.3868,620.1971,620.3469
QQQ,2026-01-02 04:11:00,620.3768,620.5566,620.3569,620.4667
QQQ,2026-01-02 04:12:00,620.5266,620.5566,620.4068,620.4567
QQQ,2026-01-02 04:13:00,620.4667,620.4767,620.3768,620.4368
QQQ,2026-01-02 04:14:00,620.4467,620.5167,620.4368,620.4867
QQQ,2026-01-02 04:15:00,620.4467,620.4467,620.257,620.257
QQQ,2026-01-02 04:16:00,620.2869,620.2869,620.1371,620.217
QQQ,2026-01-02 04:17:00,620.1871,620.1871,620.1172,620.1172
QQQ,2026-01-02 04:18:00,620.0872,620.0872,620.0273,620.0772
QQQ,2026-01-02 04:19:00,620.1371,620.227,620.1172,620.227
QQQ,2026-01-02 04:20:00,620.277,620.2869,620.1771,620.217
QQQ,2026-01-02 04:21:00,620.227,620.3369,620.207,620.3269
QQQ,2026-01-02 04:22:00,620.2969,620.3069,620.227,620.227
QQQ,2026-01-02 04:23:00,620.207,620.207,620.1471,620.207
QQQ,2026-01-02 04:24:00,620.217,620.227,620.0672,620.0672
QQQ,2026-01-02 04:25:00,620.1371,620.1571,620.0373,620.1072
QQQ,2026-01-02 04:26:00,620.1172,620.1271,620.1072,620.1172
QQQ,2026-01-02 04:27:00,620.1471,620.237,620.1471,620.237
QQQ,2026-01-02 04:28:00,620.3269,620.3269,620.237,620.277
QQQ,2026-01-02 04:29:00,620.277,620.4068,620.277,620.3868
QQQ,2026-01-02 04:30:00,620.4168,620.4268,620.2969,620.3469
QQQ,2026-01-02 04:31:00,620.3069,620.3069,620.217,620.267
QQQ,2026-01-02 04:32:00,620.2869,620.3569,620.2869,620.3569
QQQ,2026-01-02 04:33:00,620.3768,620.4368,620.3569,620.4068
QQQ,2026-01-02 04:34:00,620.4168,620.4168,620.267,620.267
QQQ,2026-01-02 04:35:00,620.3069,620.3269,620.267,620.3269
QQQ,2026-01-02 04:36:00,620.3469,620.3768,620.3469,620.3469
QQQ,2026-01-02 04:37:00,620.3668,620.3868,620.3269,620.3668
QQQ,2026-01-02 04:38:00,620.3469,620.3868,620.3269,620.3868
QQQ,2026-01-02 04:39:00,620.3668,620.4068,620.3569,620.3569
QQQ,2026-01-02 04:40:00,620.3768,620.3968,620.3369,620.3369
QQQ,2026-01-02 04:41:00,620.3768,620.3968,620.3369,620.3868
QQQ,2026-01-02 04:42:00,620.3469,620.4168,620.3369,620.4168
QQQ,2026-01-02 04:43:00,620.3668,620.3868,620.3569,620.3768
QQQ,2026-01-02 04:44:00,620.3668,620.4268,620.3569,620.3668
QQQ,2026-01-02 04:45:00,620.3768,620.3968,620.3768,620.3968
QQQ,2026-01-02 04:46:00,620.4068,620.4667,620.3668,620.3668
QQQ,2026-01-02 04:47:00,620.3668,620.3668,620.207,620.227
QQQ,2026-01-02 04:48:00,620.257,620.267,620.217,620.247
QQQ,2026-01-02 04:49:00,620.227,620.247,620.207,620.227
QQQ,2026-01-02 04:50:00,620.267,620.3269,620.227,620.227
QQQ,2026-01-02 04:51:00,620.247,620.257,620.217,620.247
QQQ,2026-01-02 04:52:00,620.247,620.247,620.1671,620.237
QQQ,2026-01-02 04:53:00,620.207,620.247,620.207,620.247
QQQ,2026-01-02 04:54:00,620.257,620.3868,620.237,620.3668
QQQ,2026-01-02 04:55:00,620.3768,620.3868,620.3069,620.3069
QQQ,2026-01-02 04:56:00,620.3069,620.3069,620.1871,620.227
QQQ,2026-01-02 04:57:00,620.247,620.3768,620.247,620.3768
QQQ,2026-01-02 04:58:00,620.4068,620.4767,620.3668,620.4667
QQQ,2026-01-02 04:59:00,620.4867,620.5167,620.4268,620.4268
QQQ,2026-01-02 05:00:00,620.4567,620.5266,620.4567,620.5167
QQQ,2026-01-02 05:01:00,620.5067,620.5266,620.4268,620.4268
QQQ,2026-01-02 05:02:00,620.4268,620.4368,620.3269,620.3569
QQQ,2026-01-02 05:03:00,620.3868,620.4068,620.277,620.3569
QQQ,2026-01-02 05:04:00,620.3668,620.3768,620.3369,620.3569
QQQ,2026-01-02 05:05:00,620.3768,620.3768,620.3569,620.3569
QQQ,2026-01-02 05:06:00,620.3668,620.3768,620.3269,620.3569
QQQ,2026-01-02 05:07:00,620.3269,620.3668,620.277,620.2969
QQQ,2026-01-02 05:08:00,620.267,620.277,620.217,620.217
QQQ,2026-01-02 05:09:00,620.237,620.2869,620.1971,620.2869
QQQ,2026-01-02 05:10:00,620.3069,620.3768,620.3069,620.3768
QQQ,2026-01-02 05:11:00,620.3768,620.4567,620.3668,620.4567
QQQ,2026-01-02 05:12:00,620.4767,620.5266,620.4767,620.4867
QQQ,2026-01-02 05:13:00,620.4767,620.4767,620.4068,620.4068
QQQ,2026-01-02 05:14:00,620.3768,620.3768,620.247,620.267
QQQ,2026-01-02 05:15:00,620.267,620.4068,620.267,620.3868
QQQ,2026-01-02 05:16:00,620.4268,620.4767,620.4268,620.4567
QQQ,2026-01-02 05:17:00,620.4567,620.4967,620.3369,620.3369
QQQ,2026-01-02 05:18:00,620.3469,620.3768,620.3269,620.3668
QQQ,2026-01-02 05:19:00,620.3269,620.3269,620.2869,620.2869
QQQ,2026-01-02 05:20:00,620.2969,620.3469,620.217,620.217
QQQ,2026-01-02 05:21:00,620.227,620.227,620.1471,620.1471
QQQ,2026-01-02 05:22:00,620.1271,620.1471,620.0872,620.1172
QQQ,2026-01-02 05:23:00,620.0772,620.0972,619.9873,619.9873
QQQ,2026-01-02 05:24:00,619.9973,620.0872,619.9973,620.0173
QQQ,2026-01-02 05:25:00,619.9973,619.9973,619.9673,619.9673
QQQ,2026-01-02 05:26:00,619.9374,619.9773,619.9374,619.9474
QQQ,2026-01-02 05:27:00,619.9574,620.1172,619.9574,620.1172
QQQ,2026-01-02 05:28:00,620.0872,620.0872,620.0572,620.0572
QQQ,2026-01-02 05:29:00,620.0572,620.0572,620.0073,620.0273
QQQ,2026-01-02 05:30:00,620.0572,620.0772,620.0373,620.0572
QQQ,2026-01-02 05:31:00,620.0572,620.0572,619.9673,619.9673
QQQ,2026-01-02 05:32:00,619.9574,619.9973,619.9274,619.9973
QQQ,2026-01-02 05:33:00,619.9773,619.9873,619.8874,619.8874
QQQ,2026-01-02 05:34:00,619.8775,619.8874,619.8175,619.8675
QQQ,2026-01-02 05:35:00,619.8775,619.9374,619.8575,619.9274
QQQ,2026-01-02 05:36:00,619.9274,620.0073,619.9174,619.9973
QQQ,2026-01-02 05:37:00,619.9873,620.0073,619.9474,619.9873
QQQ,2026-01-02 05:38:00,620.0173,620.0472,620.0173,620.0472
QQQ,2026-01-02 05:39:00,620.0273,620.0572,620.0173,620.0373
QQQ,2026-01-02 05:40:00,620.0273,620.0872,620.0273,620.0872
QQQ,2026-01-02 05:41:00,620.0872,620.1271,620.0772,620.1172
QQQ,2026-01-02 05:42:00,620.1172,620.1471,620.1172,620.1172
QQQ,2026-01-02 05:43:00,620.1172,620.227,620.1172,620.207
QQQ,2026-01-02 05:44:00,620.207,620.207,620.1671,620.1671
QQQ,2026-01-02 05:45:00,620.1871,620.3269,620.1871,620.3169
QQQ,2026-01-02 05:46:00,620.2969,620.3968,620.277,620.3768
QQQ,2026-01-02 05:47:00,620.3668,620.4268,620.3569,620.4268
QQQ,2026-01-02 05:48:00,620.4368,620.5067,620.4168,620.5067
QQQ,2026-01-02 05:49:00,620.5067,620.5067,620.4667,620.4967
QQQ,2026-01-02 05:50:00,620.4967,620.5167,620.4767,620.4867
QQQ,2026-01-02 05:51:00,620.4767,620.4767,620.3968,620.3968
QQQ,2026-01-02 05:52:00,620.3968,620.4068,620.3968,620.4068
QQQ,2026-01-02 05:53:00,620.3968,620.4368,620.3968,620.4168
QQQ,2026-01-02 05:54:00,620.3968,620.4467,620.3968,620.4467
QQQ,2026-01-02 05:55:00,620.4368,620.4767,620.4368,620.4667
QQQ,2026-01-02 05:56:00,620.4368,620.4467,620.3868,620.3868
QQQ,2026-01-02 05:57:00,620.3868,620.4368,620.3469,620.3868
QQQ,2026-01-02 05:58:00,620.3868,620.3868,620.3269,620.3469
QQQ,2026-01-02 05:59:00,620.3469,620.3768,620.3169,620.3668
QQQ,2026-01-02 06:00:00,620.3668,620.4567,620.3569,620.4168
QQQ,2026-01-02 06:01:00,620.4368,620.4467,620.4068,620.4368
QQQ,2026-01-02 06:02:00,620.4567,620.6465,620.4567,620.6265
QQQ,2026-01-02 06:03:00,620.6265,620.6265,620.4867,620.4867
QQQ,2026-01-02 06:04:00,620.5266,620.5566,620.5067,620.5466
QQQ,2026-01-02 06:05:00,620.5466,620.5466,620.4967,620.5266
QQQ,2026-01-02 06:06:00,620.5167,620.5266,620.4268,620.5266
QQQ,2026-01-02 06:07:00,620.5266,620.5566,620.4767,620.4767
QQQ,2026-01-02 06:08:00,620.4967,620.5266,620.4967,620.5266
QQQ,2026-01-02 06:09:00,620.4667,620.4667,620.3968,620.4168
QQQ,2026-01-02 06:10:00,620.4667,620.4767,620.4368,620.4368
QQQ,2026-01-02 06:11:00,620.4467,620.5067,620.4268,620.4268
QQQ,2026-01-02 06:12:00,620.4667,620.5266,620.4667,620.4967
QQQ,2026-01-02 06:13:00,620.4567,620.5366,620.4567,620.5366
QQQ,2026-01-02 06:14:00,620.4967,620.5067,620.4567,620.4867
QQQ,2026-01-02 06:15:00,620.4867,620.5167,620.4767,620.4867
QQQ,2026-01-02 06:16:00,620.4667,620.4667,620.3868,620.3868
QQQ,2026-01-02 06:17:00,620.3968,620.3968,620.3469,620.3469
QQQ,2026-01-02 06:18:00,620.3768,620.3768,620.267,620.267
QQQ,2026-01-02 06:19:00,620.227,620.277,620.1971,620.217
QQQ,2026-01-02 06:20:00,620.1871,620.217,620.1471,620.1871
QQQ,2026-01-02 06:21:00,620.1971,620.237,620.1871,620.227
QQQ,2026-01-02 06:22:00,620.237,620.267,620.1571,620.207
QQQ,2026-01-02 06:23:00,620.207,620.257,620.207,620.207
QQQ,2026-01-02 06:24:00,620.1871,620.207,620.1172,620.1671
QQQ,2026-01-02 06:25:00,620.1671,620.237,620.0672,620.0772
QQQ,2026-01-02 06:26:00,620.0972,620.1671,620.0872,620.0872
QQQ,2026-01-02 06:27:00,620.0772,620.0972,620.0073,620.0073
QQQ,2026-01-02 06:28:00,619.9973,620.0472,619.9973,620.0173
QQQ,2026-01-02 06:29:00,620.0173,620.0772,620.0073,620.0373
QQQ,2026-01-02 06:30:00,620.0672,620.1571,620.0672,620.1571
QQQ,2026-01-02 06:31:00,620.1571,620.207,620.1471,620.207
QQQ,2026-01-02 06:32:00,620.1871,620.1971,620.1371,620.1371
QQQ,2026-01-02 06:33:00,620.1172,620.1471,620.0872,620.1172
QQQ,2026-01-02 06:34:00,620.1271,620.1971,620.1172,620.1871
QQQ,2026-01-02 06:35:00,620.1971,620.2969,620.1971,620.237
QQQ,2026-01-02 06:36:00,620.217,620.2869,620.217,620.2869
QQQ,2026-01-02 06:37:00,620.257,620.2969,620.247,620.247
QQQ,2026-01-02 06:38:00,620.207,620.227,620.1871,620.227
QQQ,2026-01-02 06:39:00,620.1971,620.227,620.1971,620.207
QQQ,2026-01-02 06:40:00,620.217,620.217,620.1571,620.1971
QQQ,2026-01-02 06:41:00,620.1771,620.267,620.1771,620.257
QQQ,2026-01-02 06:42:00,620.2969,620.3169,620.277,620.277
QQQ,2026-01-02 06:43:00,620.3169,620.3469,620.2969,620.3369
QQQ,2026-01-02 06:44:00,620.3369,620.3369,620.2869,620.3269
QQQ,2026-01-02 06:45:00,620.3069,620.3069,620.257,620.257
QQQ,2026-01-02 06:46:00,620.277,620.3469,620.277,620.2869
QQQ,2026-01-02 06:47:00,620.3169,620.3369,620.3069,620.3269
QQQ,2026-01-02 06:48:00,620.3169,620.3169,620.2969,620.3069
QQQ,2026-01-02 06:49:00,620.3069,620.3369,620.3069,620.3069
