unique_id,ds,Open,High,Low,Close
QQQ,2015-01-02 04:30:00,95.7770,95.7770,95.7308,95.7308
QQQ,2015-01-02 06:30:00,95.7123,95.7123,95.6753,95.6753
QQQ,2015-01-02 07:00:00,95.7492,95.7492,95.7400,95.7400
QQQ,2015-01-02 07:30:00,95.7492,95.8416,95.7308,95.8232
QQQ,2015-01-02 08:00:00,95.8324,95.9710,95.7215,95.7770
QQQ,2015-01-02 08:30:00,95.7770,95.8694,95.7585,95.8694
QQQ,2015-01-02 09:00:00,95.8694,95.9525,95.8139,95.8601
QQQ,2015-01-02 09:30:00,95.8601,96.2759,95.8139,95.9618
QQQ,2015-01-02 10:00:00,95.9433,95.9802,95.5922,95.6846
QQQ,2015-01-02 10:30:00,95.6938,95.6938,94.8622,95.1394
QQQ,2015-01-02 11:00:00,95.1394,95.1579,94.6497,94.8900
QQQ,2015-01-02 11:30:00,94.8900,95.0563,94.7606,95.0286
QQQ,2015-01-02 12:00:00,95.0193,95.2134,94.9824,95.0378
QQQ,2015-01-02 12:30:00,95.0517,95.1376,94.8807,94.9177
QQQ,2015-01-02 13:00:00,94.9269,94.9916,94.7652,94.7976
QQQ,2015-01-02 13:30:00,94.7883,94.9916,94.6627,94.9084
QQQ,2015-01-02 14:00:00,94.8900,95.1764,94.8808,95.0378
QQQ,2015-01-02 14:30:00,95.0378,95.1949,94.9972,95.0563
QQQ,2015-01-02 15:00:00,95.0563,95.1117,94.8622,95.0840
QQQ,2015-01-02 15:30:00,95.0840,95.3981,95.0470,95.1672
QQQ,2015-01-02 16:00:00,95.1579,95.5118,94.9269,95.0193
QQQ,2015-01-02 16:30:00,95.0286,95.2134,94.9916,94.9916
QQQ,2015-01-02 17:00:00,95.0193,95.0193,94.9362,95.0193
QQQ,2015-01-02 17:30:00,95.0193,95.1117,95.0193,95.1117
QQQ,2015-01-02 18:00:00,95.0193,95.0193,95.0101,95.0193
QQQ,2015-01-02 18:30:00,94.9546,94.9546,94.9546,94.9546
QQQ,2015-01-02 19:30:00,95.0193,95.0193,94.9731,95.0193
QQQ,2015-01-05 05:30:00,94.7976,94.7976,94.7144,94.7144
QQQ,2015-01-05 06:00:00,94.7699,94.8438,94.7699,94.8345
QQQ,2015-01-05 07:00:00,94.7606,94.7883,94.7606,94.7699
QQQ,2015-01-05 07:30:00,94.8715,94.8807,94.8438,94.8622
QQQ,2015-01-05 08:00:00,94.8161,95.1117,94.7514,94.7514
QQQ,2015-01-05 08:30:00,94.7606,94.7606,94.5481,94.6035
QQQ,2015-01-05 09:00:00,94.6313,94.7606,94.6313,94.6959
QQQ,2015-01-05 09:30:00,94.6959,94.8068,94.2709,94.2986
QQQ,2015-01-05 10:00:00,94.2940,94.5511,94.1416,94.4003
QQQ,2015-01-05 10:30:00,94.3910,94.4003,94.0215,94.2016
QQQ,2015-01-05 11:00:00,94.2062,94.2524,93.8828,93.9291
