unique_id,ds,Open,High,Low,Close
QQQ,2017-01-03 04:00:00,112.5795,112.7399,112.3435,112.6927
QQQ,2017-01-03 04:30:00,112.5606,112.5700,112.5606,112.5700
QQQ,2017-01-03 05:00:00,112.5511,112.5511,112.5511,112.5511
QQQ,2017-01-03 05:30:00,112.5795,112.5983,112.5795,112.5983
QQQ,2017-01-03 06:00:00,112.5511,112.6833,112.5511,112.6833
QQQ,2017-01-03 06:30:00,112.6644,112.7116,112.6644,112.7116
QQQ,2017-01-03 07:00:00,112.7022,112.8249,112.7022,112.7871
QQQ,2017-01-03 07:30:00,112.7116,112.7305,112.6927,112.7305
QQQ,2017-01-03 08:00:00,112.7116,112.7682,112.6455,112.6738
QQQ,2017-01-03 08:30:00,112.6550,112.7022,111.8244,112.6927
QQQ,2017-01-03 09:00:00,112.6455,112.6455,112.5417,112.5795
QQQ,2017-01-03 09:30:00,112.6078,112.8154,112.3246,112.7399
QQQ,2017-01-03 10:00:00,112.7352,113.2496,112.6550,113.0419
QQQ,2017-01-03 10:30:00,113.0419,113.1269,112.4945,112.5417
QQQ,2017-01-03 11:00:00,112.5417,112.6927,112.4096,112.4662
QQQ,2017-01-03 11:30:00,112.4568,112.6172,112.2114,112.4379
QQQ,2017-01-03 12:00:00,112.4473,112.4662,112.2774,112.3813
QQQ,2017-01-03 12:30:00,112.3907,112.4471,112.2208,112.3907
QQQ,2017-01-03 13:00:00,112.3907,112.5040,112.3058,112.4190
QQQ,2017-01-03 13:30:00,112.4143,112.4945,112.2208,112.2397
QQQ,2017-01-03 14:00:00,112.2350,112.3813,112.2245,112.2302
QQQ,2017-01-03 14:30:00,112.2302,112.3674,112.2137,112.3577
QQQ,2017-01-03 15:00:00,112.3624,112.4756,112.2720,112.3246
QQQ,2017-01-03 15:30:00,112.3283,112.8154,112.2528,112.8154
QQQ,2017-01-03 16:00:00,112.8154,112.8815,112.7305,112.7399
QQQ,2017-01-03 16:30:00,112.7588,112.8060,112.7494,112.7965
QQQ,2017-01-03 17:00:00,112.8060,112.8154,112.7494,112.7871
QQQ,2017-01-03 17:30:00,112.7965,112.8343,112.7871,112.7871
QQQ,2017-01-03 18:00:00,112.8249,112.8249,112.7777,112.7777
QQQ,2017-01-03 18:30:00,112.7682,112.7777,112.7305,112.7682
QQQ,2017-01-03 19:00:00,112.7682,112.7682,112.7682,112.7682
QQQ,2017-01-03 19:30:00,112.7588,112.8532,112.7494,112.8532
QQQ,2017-01-04 04:00:00,112.9287,112.9664,112.9287,112.9664
QQQ,2017-01-04 04:30:00,112.9947,112.9947,112.9947,112.9947
QQQ,2017-01-04 05:00:00,113.0042,113.0042,113.0042,113.0042
QQQ,2017-01-04 06:30:00,112.9570,112.9570,112.9570,112.9570
QQQ,2017-01-04 07:00:00,112.9381,112.9570,112.9381,112.9570
QQQ,2017-01-04 07:30:00,112.9570,112.9664,112.9570,112.9664
QQQ,2017-01-04 08:00:00,112.9664,113.0608,112.9664,113.0514
QQQ,2017-01-04 08:30:00,113.0419,113.0514,112.9759,112.9759
QQQ,2017-01-04 09:00:00,112.9664,112.9664,112.9192,112.9287
QQQ,2017-01-04 09:30:00,112.9476,113.4289,112.9344,113.2024
QQQ,2017-01-04 10:00:00,113.2118,113.3628,113.0608,113.0618
QQQ,2017-01-04 10:30:00,113.0608,113.3345,113.0608,113.2779
QQQ,2017-01-04 11:00:00,113.2779,113.3628,113.1646,113.2779
QQQ,2017-01-04 11:30:00,113.2873,113.4761,113.2873,113.4336
QQQ,2017-01-04 12:00:00,113.4383,113.4950,113.3487,113.3628
QQQ,2017-01-04 12:30:00,113.3581,113.4714,113.3440,113.3959
QQQ,2017-01-04 13:00:00,113.3912,113.4383,113.3298,113.4383
QQQ,2017-01-04 13:30:00,113.4383,113.4667,113.3912,113.4100
QQQ,2017-01-04 14:00:00,113.4147,113.5988,113.3440,113.5658
QQQ,2017-01-04 14:30:00,113.5705,113.6460,113.4714,113.5390
QQQ,2017-01-04 15:00:00,113.5327,113.6271,113.4997,113.5327
QQQ,2017-01-04 15:30:00,113.5327,113.6177,113.3912,113.4383
QQQ,2017-01-04 16:00:00,113.4383,113.4761,113.3723,113.3912
QQQ,2017-01-04 16:30:00,113.4100,113.4667,113.4100,113.4478
QQQ,2017-01-04 17:00:00,113.1080,113.4289,113.1080,113.3912
QQQ,2017-01-04 17:30:00,113.4289,113.4478,113.4195,113.4195
QQQ,2017-01-04 18:00:00,113.4478,113.4855,113.4383,113.4761
QQQ,2017-01-04 18:30:00,113.4950,113.5138,113.4761,113.5138
QQQ,2017-01-04 19:00:00,113.4100,113.4100,113.3723,113.3723
QQQ,2017-01-04 19:30:00,113.3628,113.3912,113.3156,113.3156
QQQ,2017-01-05 04:00:00,113.2873,113.2873,113.2873,113.2873
QQQ,2017-01-05 06:30:00,113.3251,113.3251,113.3251,113.3251
QQQ,2017-01-05 07:00:00,113.3345,113.3440,113.2118,113.2118
QQQ,2017-01-05 07:30:00,113.1835,113.2024,113.1363,113.1741
QQQ,2017-01-05 08:00:00,113.1646,113.2496,113.1552,113.2118
QQQ,2017-01-05 08:30:00,113.2590,113.3534,113.2590,113.3251
QQQ,2017-01-05 09:00:00,113.2779,113.4195,113.2779,113.4195
QQQ,2017-01-05 09:30:00,113.4100,113.9952,113.3534,113.8725
QQQ,2017-01-05 10:00:00,113.8819,114.0330,113.7781,113.9433
QQQ,2017-01-05 10:30:00,113.9386,113.9574,113.7498,113.9190
QQQ,2017-01-05 11:00:00,113.9103,113.9669,113.5894,113.7451
QQQ,2017-01-05 11:30:00,113.7404,113.8064,113.5989,113.7929
QQQ,2017-01-05 12:00:00,113.7970,113.9008,113.7215,113.8347
QQQ,2017-01-05 12:30:00,113.8347,113.9386,113.7781,113.9008
QQQ,2017-01-05 13:00:00,113.9008,113.9669,113.8651,113.8985
QQQ,2017-01-05 13:30:00,113.9008,113.9480,113.8536,113.8725
QQQ,2017-01-05 14:00:00,113.8725,114.0046,113.8631,113.9574
QQQ,2017-01-05 14:30:00,113.9480,113.9952,113.8867,113.9153
QQQ,2017-01-05 15:00:00,113.9103,114.1273,113.8915,114.1179
QQQ,2017-01-05 15:30:00,114.1179,114.1556,114.0707,114.0801
QQQ,2017-01-05 16:00:00,114.0518,114.1368,114.0424,114.1273
QQQ,2017-01-05 16:30:00,114.1085,114.1462,114.0707,114.1462
QQQ,2017-01-05 17:00:00,114.1556,114.1840,114.1556,114.1556
QQQ,2017-01-05 17:30:00,114.1745,114.1745,114.1085,114.1556
QQQ,2017-01-05 18:00:00,114.1179,114.1462,114.1085,114.1085
QQQ,2017-01-05 18:30:00,114.1085,114.1273,114.1085,114.1179
QQQ,2017-01-05 19:00:00,114.0896,114.0896,114.0801,114.0801
QQQ,2017-01-05 19:30:00,114.0801,114.1085,114.0613,114.1085
QQQ,2017-01-06 04:30:00,114.0707,114.0707,114.0707,114.0707
QQQ,2017-01-06 05:00:00,114.0896,114.0896,114.0896,114.0896
QQQ,2017-01-06 06:00:00,114.1085,114.1179,114.1085,114.1179
QQQ,2017-01-06 06:30:00,114.1273,114.1273,114.1273,114.1273
QQQ,2017-01-06 07:00:00,114.1840,114.1934,114.1840,114.1934
QQQ,2017-01-06 07:30:00,114.1462,114.1462,114.0896,114.0896
QQQ,2017-01-06 08:00:00,114.1085,114.1556,114.0801,114.1556
QQQ,2017-01-06 08:30:00,114.1273,114.2972,114.1273,114.2595
QQQ,2017-01-06 09:00:00,114.2123,114.2500,114.1840,114.2123
QQQ,2017-01-06 09:30:00,114.1934,114.4860,113.9055,114.4671
QQQ,2017-01-06 10:00:00,114.4671,114.5898,114.3444,114.4482
QQQ,2017-01-06 10:30:00,114.4577,114.7503,114.3114,114.6653
QQQ,2017-01-06 11:00:00,114.6653,114.8446,114.6276,114.7880
QQQ,2017-01-06 11:30:00,114.7975,115.0428,114.7503,115.0155
QQQ,2017-01-06 12:00:00,115.0051,115.1750,114.9768,115.1570
QQQ,2017-01-06 12:30:00,115.1594,115.2977,115.1467,115.2599
QQQ,2017-01-06 13:00:00,115.2552,115.2977,115.0900,115.1136
QQQ,2017-01-06 13:30:00,115.1042,115.2882,115.0900,115.2175
QQQ,2017-01-06 14:00:00,115.2222,115.3826,115.2127,115.2788
QQQ,2017-01-06 14:30:00,115.2882,115.3166,115.1750,115.1939
QQQ,2017-01-06 15:00:00,115.2033,115.2599,115.1561,115.1750
QQQ,2017-01-06 15:30:00,115.1703,115.2222,115.0334,115.0617
QQQ,2017-01-06 16:00:00,115.0664,115.2410,115.0240,115.1467
QQQ,2017-01-06 16:30:00,115.1467,115.1467,115.0240,115.0995
QQQ,2017-01-06 17:00:00,115.0806,115.0995,115.0806,115.0995
QQQ,2017-01-06 17:30:00,115.0900,115.0995,115.0806,115.0806
QQQ,2017-01-06 18:00:00,115.0806,115.0806,115.0145,115.0523
QQQ,2017-01-06 18:30:00,115.0145,115.0145,114.9862,115.0051
QQQ,2017-01-06 19:00:00,114.9957,114.9957,114.9485,114.9768
QQQ,2017-01-06 19:30:00,114.9768,114.9768,114.9296,114.9296
QQQ,2017-01-06 20:00:00,115.0601,115.0601,115.0601,115.0601
QQQ,2017-01-09 04:00:00,115.1844,115.1844,115.1372,115.1561
QQQ,2017-01-09 04:30:00,115.1561,115.1939,115.1467,115.1939
QQQ,2017-01-09 05:00:00,115.1278,115.1467,115.1278,115.1467
QQQ,2017-01-09 05:30:00,115.1184,115.1278,115.1184,115.1278
QQQ,2017-01-09 06:00:00,115.1089,115.1089,115.0806,115.0900
QQQ,2017-01-09 06:30:00,115.0428,115.0712,115.0428,115.0712
QQQ,2017-01-09 07:00:00,115.0806,115.0995,115.0712,115.0995
QQQ,2017-01-09 07:30:00,115.0900,115.1467,115.0900,115.1467
QQQ,2017-01-09 08:00:00,115.1184,115.1561,115.1184,115.1372
QQQ,2017-01-09 08:30:00,115.1561,115.1561,115.0712,115.1089
QQQ,2017-01-09 09:00:00,115.1089,115.1939,115.0806,115.1655
QQQ,2017-01-09 09:30:00,115.1750,115.4345,115.0995,115.3260
QQQ,2017-01-09 10:00:00,115.3260,115.4581,115.0995,115.3921
QQQ,2017-01-09 10:30:00,115.3827,115.4109,115.2316,115.3637
QQQ,2017-01-09 11:00:00,115.3543,115.5242,115.2694,115.4204
QQQ,2017-01-09 11:30:00,115.4204,115.4487,115.3260,115.4298
QQQ,2017-01-09 12:00:00,115.4204,115.5336,115.3732,115.5242
QQQ,2017-01-09 12:30:00,115.5242,115.5808,115.4487,115.5525
QQQ,2017-01-09 13:00:00,115.5610,115.5997,115.4819,115.5053
QQQ,2017-01-09 13:30:00,115.5115,115.5431,115.4676,115.5111
QQQ,2017-01-09 14:00:00,115.5053,115.5195,115.3449,115.4628
QQQ,2017-01-09 14:30:00,115.4581,115.4888,115.3449,115.4888
QQQ,2017-01-09 15:00:00,115.4864,115.6563,115.4676,115.6422
QQQ,2017-01-09 15:30:00,115.6407,115.6658,115.4487,115.4581
QQQ,2017-01-09 16:00:00,115.4581,115.5242,115.4204,115.4204
QQQ,2017-01-09 16:30:00,115.4770,115.4864,115.4676,115.4864
QQQ,2017-01-09 17:00:00,115.4109,115.5425,115.3921,115.4676
QQQ,2017-01-09 17:30:00,115.4487,115.4864,115.4487,115.4864
QQQ,2017-01-09 18:00:00,115.5242,115.5242,115.3732,115.3826
QQQ,2017-01-09 18:30:00,115.3732,115.3826,115.3637,115.3637
QQQ,2017-01-09 19:00:00,115.3826,115.4109,115.3826,115.4109
QQQ,2017-01-09 19:30:00,115.4015,115.4015,115.3637,115.3637
QQQ,2017-01-10 05:30:00,115.5525,115.5714,115.5525,115.5714
QQQ,2017-01-10 06:30:00,115.5431,115.5431,115.5431,115.5431
QQQ,2017-01-10 07:00:00,115.5053,115.5431,115.5053,115.5336
QQQ,2017-01-10 07:30:00,115.5525,115.5525,115.5336,115.5431
QQQ,2017-01-10 08:00:00,115.5431,115.5431,115.4770,115.4770
QQQ,2017-01-10 08:30:00,115.4487,115.5148,115.4487,115.4770
QQQ,2017-01-10 09:00:00,115.4770,115.5431,115.4676,115.4770
QQQ,2017-01-10 09:30:00,115.4959,115.6186,115.2410,115.4204
QQQ,2017-01-10 10:00:00,115.4109,115.5336,115.3260,115.4298
QQQ,2017-01-10 10:30:00,115.4298,115.6280,115.4204,115.5903
QQQ,2017-01-10 11:00:00,115.5903,115.9206,115.5714,115.8828
QQQ,2017-01-10 11:30:00,115.8828,116.0433,115.8451,115.9395
QQQ,2017-01-10 12:00:00,115.9489,116.0622,115.9395,115.9772
QQQ,2017-01-10 12:30:00,115.9772,116.0244,115.8828,115.9016
QQQ,2017-01-10 13:00:00,115.8960,115.9489,115.8734,115.8828
QQQ,2017-01-10 13:30:00,115.8828,115.9961,115.6752,115.7035
QQQ,2017-01-10 14:00:00,115.7035,115.8073,115.6186,115.6846
QQQ,2017-01-10 14:30:00,115.6847,115.8262,115.6752,115.7413
QQQ,2017-01-10 15:00:00,115.7413,115.7979,115.7035,115.7413
QQQ,2017-01-10 15:30:00,115.7366,115.9112,115.6941,115.7130
QQQ,2017-01-10 16:00:00,115.7035,115.7507,115.6752,115.6846
QQQ,2017-01-10 16:30:00,115.7130,115.7318,115.7130,115.7318
QQQ,2017-01-10 18:00:00,115.7130,115.7413,115.7035,115.7035
QQQ,2017-01-10 19:00:00,115.7130,115.7602,115.6658,115.6658
QQQ,2017-01-10 19:30:00,115.6846,115.7413,115.6846,115.7130
QQQ,2017-01-11 04:00:00,115.6186,115.6186,115.6186,115.6186
QQQ,2017-01-11 06:00:00,115.8262,115.8262,115.8262,115.8262
QQQ,2017-01-11 06:30:00,115.8073,115.8262,115.7885,115.8262
QQQ,2017-01-11 07:00:00,115.8168,115.8168,115.7413,115.7413
QQQ,2017-01-11 07:30:00,115.7696,115.7696,115.6846,115.7035
QQQ,2017-01-11 08:00:00,115.6658,115.7130,115.6469,115.7035
QQQ,2017-01-11 08:30:00,115.7130,115.7318,115.7130,115.7318
QQQ,2017-01-11 09:00:00,115.7035,115.8073,115.7035,115.7224
QQQ,2017-01-11 09:30:00,115.7413,115.8451,115.6280,115.8073
QQQ,2017-01-11 10:00:00,115.8262,115.9206,115.6752,115.8545
QQQ,2017-01-11 10:30:00,115.8545,115.9867,115.7696,115.8640
QQQ,2017-01-11 11:00:00,115.8734,115.9772,115.4487,115.4770
QQQ,2017-01-11 11:30:00,115.4676,115.7743,115.1655,115.7507
QQQ,2017-01-11 12:00:00,115.7602,115.8451,115.4959,115.6846
QQQ,2017-01-11 12:30:00,115.6941,115.7224,115.3637,115.5619
QQQ,2017-01-11 13:00:00,115.5525,115.5903,115.2033,115.2552
QQQ,2017-01-11 13:30:00,115.2505,115.5808,115.2033,115.5242
QQQ,2017-01-11 14:00:00,115.5336,115.6658,115.4723,115.6327
QQQ,2017-01-11 14:30:00,115.6375,115.9017,115.6317,115.8734
QQQ,2017-01-11 15:00:00,115.8640,115.9961,115.8357,115.9206
QQQ,2017-01-11 15:30:00,115.9206,116.0244,115.9064,116.0150
QQQ,2017-01-11 16:00:00,116.0150,116.0622,115.9867,116.0433
QQQ,2017-01-11 16:30:00,116.0244,116.0716,116.0244,116.0622
QQQ,2017-01-11 17:00:00,116.0905,116.0905,116.0244,116.0244
QQQ,2017-01-11 17:30:00,116.0055,116.0055,116.0055,116.0055
QQQ,2017-01-11 18:00:00,116.0055,116.0055,115.9678,115.9678
QQQ,2017-01-11 18:30:00,115.9678,115.9678,115.9489,115.9489
QQQ,2017-01-11 19:00:00,115.9678,115.9678,115.8923,115.8923
QQQ,2017-01-11 19:30:00,115.9112,115.9112,115.8734,115.8923
QQQ,2017-01-12 04:00:00,115.7413,115.7507,115.7413,115.7507
QQQ,2017-01-12 04:30:00,115.7035,115.7413,115.7035,115.7413
QQQ,2017-01-12 05:00:00,115.7413,115.7413,115.7413,115.7413
QQQ,2017-01-12 05:30:00,115.7413,115.7413,115.7413,115.7413
QQQ,2017-01-12 06:00:00,115.7130,115.7602,115.7035,115.7602
QQQ,2017-01-12 06:30:00,115.7790,115.7979,115.7507,115.7507
QQQ,2017-01-12 07:00:00,115.7413,115.7413,115.6658,115.6658
QQQ,2017-01-12 07:30:00,115.6658,115.7507,115.6658,115.7507
QQQ,2017-01-12 08:00:00,115.7318,115.7602,115.7035,115.7130
QQQ,2017-01-12 08:30:00,115.7035,115.7507,115.6846,115.7035
QQQ,2017-01-12 09:00:00,115.6941,115.7035,115.5525,115.5997
QQQ,2017-01-12 09:30:00,115.5997,115.6516,115.2410,115.3826
QQQ,2017-01-12 10:00:00,115.3826,115.4393,114.8635,115.0570
QQQ,2017-01-12 10:30:00,115.0570,115.1467,114.8730,114.9201
QQQ,2017-01-12 11:00:00,114.9201,115.1179,114.7691,115.0995
QQQ,2017-01-12 11:30:00,115.1089,115.2222,115.0523,115.1655
QQQ,2017-01-12 12:00:00,115.1655,115.4157,115.1467,115.3590
QQQ,2017-01-12 12:30:00,115.3637,115.5100,115.3637,115.4487
QQQ,2017-01-12 13:00:00,115.4393,115.5997,115.4015,115.4770
QQQ,2017-01-12 13:30:00,115.4864,115.6894,115.4770,115.6186
QQQ,2017-01-12 14:00:00,115.6186,115.6752,115.5336,115.6251
QQQ,2017-01-12 14:30:00,115.6186,115.7696,115.6091,115.7318
QQQ,2017-01-12 15:00:00,115.7403,115.7507,115.6186,115.6846
QQQ,2017-01-12 15:30:00,115.6941,115.9197,115.6894,115.8357
QQQ,2017-01-12 16:00:00,115.8357,115.8640,115.7790,115.7979
QQQ,2017-01-12 16:30:00,115.7602,115.8451,115.7602,115.8451
QQQ,2017-01-12 17:00:00,115.9395,115.9395,115.8262,115.8262
QQQ,2017-01-12 17:30:00,115.8828,115.8828,115.8451,115.8451
QQQ,2017-01-12 18:00:00,115.8262,115.8828,115.8262,115.8545
QQQ,2017-01-12 18:30:00,115.9017,115.9112,115.8640,115.8640
QQQ,2017-01-12 19:00:00,115.8451,115.8451,115.8451,115.8451
QQQ,2017-01-12 19:30:00,115.8451,115.8640,115.8262,115.8640
QQQ,2017-01-13 05:00:00,115.9206,115.9206,115.9206,115.9206
QQQ,2017-01-13 06:00:00,115.9961,115.9961,115.9961,115.9961
QQQ,2017-01-13 06:30:00,115.9867,115.9867,115.9489,115.9489
QQQ,2017-01-13 07:00:00,115.9584,115.9584,115.9395,115.9395
QQQ,2017-01-13 07:30:00,115.9772,116.0150,115.9300,115.9772
QQQ,2017-01-13 08:00:00,115.9772,116.1094,115.8923,115.9017
