unique_id,ds,Open,High,Low,Close
QQQ,2019-01-02 04:00:00,144.3173,144.6823,144.0868,144.6631
QQQ,2019-01-02 04:30:00,144.6439,144.7784,144.1924,144.6343
QQQ,2019-01-02 05:00:00,144.6343,145.0666,144.6343,144.7976
QQQ,2019-01-02 05:30:00,144.7400,144.7688,144.3365,144.4422
QQQ,2019-01-02 06:00:00,144.4230,144.8360,144.3653,144.6919
QQQ,2019-01-02 06:30:00,144.7015,144.7976,144.4614,144.5959
QQQ,2019-01-02 07:00:00,144.7207,145.3835,144.6727,145.3643
QQQ,2019-01-02 07:30:00,145.3547,145.3547,144.7496,144.7496
QQQ,2019-01-02 08:00:00,144.7111,148.1788,144.0387,144.6247
QQQ,2019-01-02 08:30:00,144.6055,144.7304,144.5190,144.6151
QQQ,2019-01-02 09:00:00,144.6247,145.1338,144.6151,145.0377
QQQ,2019-01-02 09:30:00,145.0377,146.4210,144.9321,146.2576
QQQ,2019-01-02 10:00:00,146.2385,147.5352,145.7774,146.9492
QQQ,2019-01-02 10:30:00,146.9493,147.9483,146.6227,147.7081
QQQ,2019-01-02 11:00:00,147.7081,148.6975,147.5160,148.1596
QQQ,2019-01-02 11:30:00,148.1788,148.4094,147.5929,147.6361
QQQ,2019-01-02 12:00:00,147.6409,147.9771,147.5160,147.9003
QQQ,2019-01-02 12:30:00,147.9003,148.9089,147.9003,148.7840
QQQ,2019-01-02 13:00:00,148.7744,149.3796,148.7744,149.2163
QQQ,2019-01-02 13:30:00,149.2259,149.6101,149.1202,149.5717
QQQ,2019-01-02 14:00:00,149.5812,149.5861,148.6687,149.1298
QQQ,2019-01-02 14:30:00,149.1394,149.5236,148.7456,148.7597
QQQ,2019-01-02 15:00:00,148.7552,148.9857,148.0540,148.2461
QQQ,2019-01-02 15:30:00,148.2365,148.9377,147.7946,148.7840
QQQ,2019-01-02 16:00:00,148.7744,148.8993,147.7370,148.0443
QQQ,2019-01-02 16:30:00,148.3229,148.5246,145.9599,146.1712
QQQ,2019-01-02 17:00:00,146.2192,148.7744,146.0079,146.1232
QQQ,2019-01-02 17:30:00,146.1232,146.1232,145.5372,145.6333
QQQ,2019-01-02 18:00:00,145.5757,145.6813,145.0569,145.5564
QQQ,2019-01-02 18:30:00,145.5853,145.6141,144.9321,145.1242
QQQ,2019-01-02 19:00:00,145.1242,145.5084,145.1242,145.4124
QQQ,2019-01-02 19:30:00,145.3259,145.5276,145.2395,145.3067
QQQ,2019-01-02 20:00:00,145.4124,145.4124,145.4124,145.4124
QQQ,2019-01-02 20:30:00,145.6237,145.8927,145.6237,145.8927
QQQ,2019-01-02 21:00:00,145.9791,145.9791,145.9791,145.9791
QQQ,2019-01-02 21:30:00,145.7678,145.7678,145.7678,145.7678
QQQ,2019-01-02 22:00:00,145.4316,145.4316,145.2971,145.3835
QQQ,2019-01-02 22:30:00,145.5949,145.5949,145.4124,145.4796
QQQ,2019-01-02 23:00:00,145.4604,145.4604,145.4604,145.4604
QQQ,2019-01-02 23:30:00,145.4412,145.4412,145.4412,145.4412
QQQ,2019-01-03 04:00:00,144.9321,145.1434,144.9225,145.0281
QQQ,2019-01-03 04:30:00,145.0281,145.0281,144.7400,144.7880
QQQ,2019-01-03 05:00:00,144.7304,144.7880,144.5094,144.7880
QQQ,2019-01-03 05:30:00,144.7976,145.0569,144.5959,144.6919
QQQ,2019-01-03 06:00:00,144.7400,144.9801,144.6343,144.7400
QQQ,2019-01-03 06:30:00,144.7976,144.9705,144.6343,144.9705
QQQ,2019-01-03 07:00:00,144.9705,145.6141,144.9417,145.5949
QQQ,2019-01-03 07:30:00,145.5853,145.8542,145.5757,145.8254
QQQ,2019-01-03 08:00:00,145.2395,146.3922,144.5767,146.1904
QQQ,2019-01-03 08:30:00,146.2289,146.4786,146.0656,146.3825
QQQ,2019-01-03 09:00:00,146.3922,146.6611,146.1328,146.6227
QQQ,2019-01-03 09:30:00,146.6131,147.2182,145.6717,146.0175
QQQ,2019-01-03 10:00:00,145.9983,146.0175,144.4710,145.3547
QQQ,2019-01-03 10:30:00,145.3451,145.3547,144.0868,145.0488
QQQ,2019-01-03 11:00:00,145.0666,146.0079,144.9513,145.3932
QQQ,2019-01-03 11:30:00,145.4028,146.7284,145.1626,146.0367
QQQ,2019-01-03 12:00:00,146.0463,146.2769,145.3451,145.5276
QQQ,2019-01-03 12:30:00,145.5276,146.0367,145.2106,145.8734
QQQ,2019-01-03 13:00:00,145.8542,145.8734,144.6151,145.0291
