unique_id,ds,Open,High,Low,Close
QQQ,2021-01-04 04:00:00,307.3069,307.8921,307.3069,307.7750
QQQ,2021-01-04 04:30:00,307.8726,307.9799,307.7360,307.7555
QQQ,2021-01-04 05:00:00,307.7653,307.8433,307.3849,307.5117
QQQ,2021-01-04 05:30:00,307.5117,307.7165,307.5019,307.5410
QQQ,2021-01-04 06:00:00,307.5410,307.7165,307.5214,307.5702
QQQ,2021-01-04 06:30:00,307.6092,307.7653,307.5702,307.6190
QQQ,2021-01-04 07:00:00,307.5605,307.5995,307.4434,307.5507
QQQ,2021-01-04 07:30:00,307.5507,307.8336,307.5019,307.8336
QQQ,2021-01-04 08:00:00,307.8336,307.8531,305.4536,307.5800
QQQ,2021-01-04 08:30:00,307.5800,307.7848,307.4629,307.5410
QQQ,2021-01-04 09:00:00,307.5419,307.5419,306.0193,307.3849
QQQ,2021-01-04 09:30:00,307.3556,307.5312,305.5804,306.0876
QQQ,2021-01-04 10:00:00,306.0974,306.3510,305.3118,306.0966
QQQ,2021-01-04 10:30:00,306.0876,306.2827,303.2982,303.3037
QQQ,2021-01-04 11:00:00,303.3273,303.8052,301.3765,302.3714
QQQ,2021-01-04 11:30:00,302.3421,302.4121,300.3621,300.3622
QQQ,2021-01-04 12:00:00,300.3816,300.6937,297.6700,299.4842
QQQ,2021-01-04 12:30:00,299.4171,299.6500,298.1382,299.4574
QQQ,2021-01-04 13:00:00,299.4452,300.9473,299.1916,300.8205
QQQ,2021-01-04 13:30:00,300.8108,301.3667,300.2840,301.2887
QQQ,2021-01-04 14:00:00,301.2887,301.3472,300.2060,300.6449
QQQ,2021-01-04 14:30:00,300.6352,301.1814,299.7183,301.0644
QQQ,2021-01-04 15:00:00,301.0253,301.2594,300.3718,300.7327
QQQ,2021-01-04 15:30:00,300.7230,302.1665,300.2840,301.6301
QQQ,2021-01-04 16:00:00,301.5911,301.8252,301.1814,301.4059
QQQ,2021-01-04 16:30:00,301.4057,301.6788,301.3375,301.6593
