unique_id,ds,Open,High,Low,Close
QQQ,2025-02-03 04:00:00,513.3000,514.3700,508.0000,513.7500
QQQ,2025-02-03 04:05:00,513.5900,513.8400,512.9300,512.9800
QQQ,2025-02-03 04:10:00,512.9200,513.5200,512.7600,513.3300
QQQ,2025-02-03 04:15:00,513.4000,513.5000,512.7600,512.7600
QQQ,2025-02-03 04:20:00,512.7600,513.1900,512.3800,512.7900
QQQ,2025-02-03 04:25:00,512.9000,513.2900,512.8900,513.1700
QQQ,2025-02-03 04:30:00,513.2600,513.9500,513.1900,513.8400
QQQ,2025-02-03 04:35:00,513.7900,513.8200,513.1100,513.1800
QQQ,2025-02-03 04:40:00,513.2800,513.4600,512.8200,512.8600
QQQ,2025-02-03 04:45:00,512.8600,513.1000,512.6600,512.8500
QQQ,2025-02-03 04:50:00,512.9500,513.1500,512.6800,512.7800
QQQ,2025-02-03 04:55:00,512.7900,512.9100,512.5400,512.7100
QQQ,2025-02-03 05:00:00,512.7200,512.9700,512.1900,512.3200
QQQ,2025-02-03 05:05:00,512.2300,513.2500,512.2300,513.1500
QQQ,2025-02-03 05:10:00,513.1500,513.3900,512.9100,513.3300
QQQ,2025-02-03 05:15:00,513.3000,513.3500,513.0200,513.1900
QQQ,2025-02-03 05:20:00,513.2000,513.4500,512.9200,513.2300
QQQ,2025-02-03 05:25:00,513.2000,513.4700,513.1400,513.3000
QQQ,2025-02-03 05:30:00,513.4300,514.1100,513.4000,514.0000
QQQ,2025-02-03 05:35:00,514.0000,514.1700,513.9100,514.0000
QQQ,2025-02-03 05:40:00,514.0900,514.2200,513.8500,514.2200
QQQ,2025-02-03 05:45:00,514.2000,514.2800,513.7800,513.9400
QQQ,2025-02-03 05:50:00,513.9000,514.0400,513.6500,513.8600
QQQ,2025-02-03 05:55:00,513.9200,513.9400,513.7500,513.8700
QQQ,2025-02-03 06:00:00,514.1000,514.7900,514.0700,514.5200
QQQ,2025-02-03 06:05:00,514.5000,514.8500,514.4500,514.7100
QQQ,2025-02-03 06:10:00,514.7600,514.9400,514.6500,514.8000
QQQ,2025-02-03 06:15:00,514.8100,514.8300,514.2500,514.4100
QQQ,2025-02-03 06:20:00,514.4000,514.4800,514.1800,514.1800
QQQ,2025-02-03 06:25:00,514.1900,514.2600,513.9000,514.0500
QQQ,2025-02-03 06:30:00,514.0900,514.2900,513.8500,513.9200
QQQ,2025-02-03 06:35:00,513.9000,514.0300,513.5500,513.5900
QQQ,2025-02-03 06:40:00,513.6400,513.7600,513.5100,513.7100
QQQ,2025-02-03 06:45:00,513.7100,513.9500,513.4000,513.5600
QQQ,2025-02-03 06:50:00,513.5700,513.6300,513.1000,513.2300
QQQ,2025-02-03 06:55:00,513.2300,513.9000,513.2300,513.7900
QQQ,2025-02-03 07:00:00,513.7900,513.8700,513.0700,513.0700
QQQ,2025-02-03 07:05:00,513.0500,513.3000,512.8000,513.0100
QQQ,2025-02-03 07:10:00,513.0300,513.3100,512.6200,513.3100
QQQ,2025-02-03 07:15:00,513.3000,513.5010,512.8600,512.9400
QQQ,2025-02-03 07:20:00,512.9000,513.3400,512.8400,513.3200
QQQ,2025-02-03 07:25:00,513.3500,513.8700,513.1100,513.4700
QQQ,2025-02-03 07:30:00,513.4800,513.5400,512.8300,512.8300
QQQ,2025-02-03 07:35:00,512.8700,512.9300,512.4600,512.5600
QQQ,2025-02-03 07:40:00,512.6100,512.7500,512.4000,512.4800
QQQ,2025-02-03 07:45:00,512.4400,512.5800,512.0900,512.3900
QQQ,2025-02-03 07:50:00,512.3500,512.6700,512.1400,512.4800
QQQ,2025-02-03 07:55:00,512.4400,512.6700,512.2800,512.5800
QQQ,2025-02-03 08:00:00,512.6100,522.2900,507.5000,507.5000
QQQ,2025-02-03 08:05:00,513.1004,522.2949,513.1004,513.4400
QQQ,2025-02-03 08:10:00,513.4200,514.1400,513.1200,514.0400
QQQ,2025-02-03 08:15:00,514.0298,514.0298,513.6900,513.8504
QQQ,2025-02-03 08:20:00,513.8900,514.1200,513.2900,513.6418
QQQ,2025-02-03 08:25:00,513.6400,513.7700,513.3200,513.6400
QQQ,2025-02-03 08:30:00,513.5900,513.9300,510.4000,513.2600
QQQ,2025-02-03 08:35:00,513.2300,513.2300,512.8000,512.9600
QQQ,2025-02-03 08:40:00,512.9250,513.1498,512.7500,513.0800
QQQ,2025-02-03 08:45:00,513.0700,522.2900,512.7500,512.9505
QQQ,2025-02-03 08:50:00,512.9700,513.1700,512.5500,513.1700
QQQ,2025-02-03 08:55:00,513.1400,513.2800,512.9300,513.1900
QQQ,2025-02-03 09:00:00,513.2000,513.4486,513.0000,513.1600
QQQ,2025-02-03 09:05:00,513.2000,513.5650,513.0000,513.0600
QQQ,2025-02-03 09:10:00,513.0900,513.8800,512.7500,513.4400
QQQ,2025-02-03 09:15:00,513.4350,513.5900,513.2910,513.5800
QQQ,2025-02-03 09:20:00,513.5200,513.6200,513.2200,513.5314
QQQ,2025-02-03 09:25:00,513.4700,513.7400,512.6700,513.4900
QQQ,2025-02-03 09:30:00,513.4700,514.4200,512.5700,513.6850
QQQ,2025-02-03 09:35:00,513.7000,515.8400,513.4000,515.6700
QQQ,2025-02-03 09:40:00,515.6300,515.6300,514.3600,514.5500
QQQ,2025-02-03 09:45:00,514.6100,514.7200,513.1862,513.3899
QQQ,2025-02-03 09:50:00,513.4400,514.0400,512.5000,513.0935
QQQ,2025-02-03 09:55:00,513.0000,514.3500,512.6900,513.5200
QQQ,2025-02-03 10:00:00,513.5000,513.5192,511.8000,512.4100
QQQ,2025-02-03 10:05:00,512.3100,513.4900,512.0900,513.1900
QQQ,2025-02-03 10:10:00,513.1000,513.1200,511.2600,511.4200
QQQ,2025-02-03 10:15:00,511.4200,511.7300,511.0700,511.0700
QQQ,2025-02-03 10:20:00,511.0900,516.1900,511.0500,515.8400
QQQ,2025-02-03 10:25:00,515.9200,517.0300,515.0500,516.8500
QQQ,2025-02-03 10:30:00,516.8000,517.5800,516.0800,517.2400
QQQ,2025-02-03 10:35:00,517.2600,518.0100,516.3237,517.1200
QQQ,2025-02-03 10:40:00,517.0900,519.2500,516.5400,518.9583
QQQ,2025-02-03 10:45:00,518.9100,519.0000,517.5842,518.2201
QQQ,2025-02-03 10:50:00,518.3100,519.0000,517.8400,518.0113
QQQ,2025-02-03 10:55:00,518.0200,518.9900,517.6700,518.4700
QQQ,2025-02-03 11:00:00,518.4401,519.3200,517.3700,518.1350
QQQ,2025-02-03 11:05:00,518.2350,518.6597,516.5400,518.4500
QQQ,2025-02-03 11:10:00,518.4800,519.2400,518.3650,518.7200
QQQ,2025-02-03 11:15:00,518.7200,519.1700,518.4499,519.1300
QQQ,2025-02-03 11:20:00,519.1400,519.6300,518.7200,518.9200
QQQ,2025-02-03 11:25:00,518.8800,519.1000,517.8200,518.1100
QQQ,2025-02-03 11:30:00,518.1200,518.8600,517.4900,518.6900
QQQ,2025-02-03 11:35:00,518.6200,518.8800,518.2600,518.7700
QQQ,2025-02-03 11:40:00,518.8500,519.0200,517.9900,518.7550
QQQ,2025-02-03 11:45:00,518.7600,519.4100,518.0800,518.1000
QQQ,2025-02-03 11:50:00,518.1300,519.4300,518.0700,518.9400
QQQ,2025-02-03 11:55:00,518.9000,518.9300,517.2200,517.6000
QQQ,2025-02-03 12:00:00,517.6400,518.0500,517.2500,517.5650
QQQ,2025-02-03 12:05:00,517.5900,518.0300,517.1180,518.0300
