unique_id,ds,Open,High,Low,Close
QQQ,2025-01-02 04:00:00,511.6000,515.7400,511.6000,515.4700
QQQ,2025-01-02 04:30:00,515.4600,515.6500,514.6700,515.6100
QQQ,2025-01-02 05:00:00,515.6800,515.8200,514.6400,515.2500
QQQ,2025-01-02 05:30:00,515.1900,515.6900,514.7300,515.5300
QQQ,2025-01-02 06:00:00,515.5300,515.7300,514.9300,515.6400
QQQ,2025-01-02 06:30:00,515.6100,517.2700,515.2100,517.2300
QQQ,2025-01-02 07:00:00,517.1800,517.7000,516.9100,517.5510
QQQ,2025-01-02 07:30:00,517.6000,517.6000,515.9100,516.6200
QQQ,2025-01-02 08:00:00,514.8720,517.7200,511.2300,516.0600
QQQ,2025-01-02 08:30:00,516.0600,517.1500,511.2300,515.9600
QQQ,2025-01-02 09:00:00,516.0000,516.0000,511.6900,514.3100
QQQ,2025-01-02 09:30:00,514.3000,515.8200,510.0200,515.3900
QQQ,2025-01-02 10:00:00,515.4400,516.6400,512.1700,513.0500
QQQ,2025-01-02 10:30:00,512.9300,513.9603,511.1100,512.7094
QQQ,2025-01-02 11:00:00,512.7400,513.2400,510.5200,513.0799
QQQ,2025-01-02 11:30:00,513.0489,514.5800,512.5000,513.6400
QQQ,2025-01-02 12:00:00,513.6100,514.2400,509.5200,509.7300
QQQ,2025-01-02 12:30:00,509.7100,509.7100,505.7100,507.9200
QQQ,2025-01-02 13:00:00,507.9600,508.2100,505.9900,507.6725
QQQ,2025-01-02 13:30:00,507.6200,511.2611,505.8300,507.2800
QQQ,2025-01-02 14:00:00,507.2550,509.0500,506.7500,508.7600
QQQ,2025-01-02 14:30:00,508.6600,509.5400,507.4800,507.6400
QQQ,2025-01-02 15:00:00,507.5900,510.3400,507.5900,509.8200
QQQ,2025-01-02 15:30:00,509.8400,510.7600,508.9700,510.1700
QQQ,2025-01-02 16:00:00,510.1900,511.3785,509.1892,510.9300
QQQ,2025-01-02 16:30:00,510.9200,510.9500,510.2300,510.4800
QQQ,2025-01-02 17:00:00,510.5300,510.6300,486.5394,510.3791
QQQ,2025-01-02 17:30:00,510.3550,510.5000,490.0552,510.4200
QQQ,2025-01-02 18:00:00,510.4800,510.5500,509.7100,509.9500
QQQ,2025-01-02 18:30:00,509.9800,510.1000,509.6000,510.0300
QQQ,2025-01-02 19:00:00,510.0300,511.4800,509.8300,511.3800
QQQ,2025-01-02 19:30:00,511.3600,511.8700,511.3200,511.8500
QQQ,2025-01-03 04:00:00,512.0000,513.2500,511.8300,512.9800
QQQ,2025-01-03 04:30:00,512.9100,513.0900,512.6200,512.8700
QQQ,2025-01-03 05:00:00,512.8300,512.8300,512.1400,512.4500
QQQ,2025-01-03 05:30:00,512.4200,512.4900,511.8100,512.0400
QQQ,2025-01-03 06:00:00,512.0200,512.3600,511.6000,512.2500
QQQ,2025-01-03 06:30:00,512.2600,512.3500,511.9700,512.2800
QQQ,2025-01-03 07:00:00,512.2300,512.2400,511.3400,511.9400
QQQ,2025-01-03 07:30:00,511.9400,512.1800,511.6500,512.1000
