unique_id,ds,Open,High,Low,Close
QQQ,2024-04-16 20:30:00,305.5811,307.146,305.5417,306.9197
QQQ,2024-04-16 20:35:00,306.9098,307.5102,306.3193,306.3882
QQQ,2024-04-16 20:40:00,306.3882,306.9197,306.0732,306.6539
QQQ,2024-04-16 20:45:00,306.6834,307.4512,306.1815,306.5063
QQQ,2024-04-16 20:50:00,306.5161,307.5693,306.2504,307.5677
QQQ,2024-04-16 20:55:00,307.5693,307.7267,307.0082,307.2938
QQQ,2024-04-16 21:00:00,307.3232,307.65,305.6598,306.6736
QQQ,2024-04-16 21:05:00,306.7228,306.7351,304.6854,305.02
QQQ,2024-04-16 21:10:00,305.0299,305.3744,304.3606,304.5989
QQQ,2024-04-16 21:15:00,304.587,304.6067,303.0023,303.0122
QQQ,2024-04-16 21:20:00,303.0122,303.7897,302.9925,303.2976
QQQ,2024-04-16 21:25:00,303.3173,303.7011,302.5594,302.7071
QQQ,2024-04-16 21:30:00,302.7071,303.3763,302.0771,302.095
QQQ,2024-04-16 21:35:00,302.0771,302.4315,301.3783,302.4216
QQQ,2024-04-16 21:40:00,302.3822,303.1992,302.333,303.087
QQQ,2024-04-16 21:45:00,303.0811,303.2878,302.4807,302.52
QQQ,2024-04-16 21:50:00,302.5397,303.8094,302.2937,303.6126
QQQ,2024-04-16 21:55:00,303.5929,303.9669,303.3911,303.4452
QQQ,2024-04-16 22:00:00,303.396,303.4157,302.3232,302.6972
QQQ,2024-04-16 22:05:00,302.6677,303.0122,302.1263,302.2052
QQQ,2024-04-16 22:10:00,302.2248,302.9236,302.1263,302.52
QQQ,2024-04-16 22:15:00,302.5397,302.6382,301.3488,301.7179
QQQ,2024-04-16 22:20:00,301.7031,301.708,300.6626,301.0087
QQQ,2024-04-16 22:25:00,301.0338,301.4226,300.5909,301.3882
QQQ,2024-04-16 22:30:00,301.4177,301.6145,300.9009,301.024
QQQ,2024-04-16 22:35:00,301.0437,301.1569,300.4531,300.9452
QQQ,2024-04-16 22:40:00,300.9059,300.9443,300.1381,300.1578
QQQ,2024-04-16 22:45:00,300.1677,300.7856,300.0004,300.2563
QQQ,2024-04-16 22:50:00,300.2858,300.709,300.0889,300.6696
QQQ,2024-04-16 22:55:00,300.6893,300.8567,300.1578,300.2169
QQQ,2024-04-16 23:00:00,300.2169,300.2858,299.272,299.4098
QQQ,2024-04-16 23:05:00,299.4174,300.1086,299.3803,299.7336
QQQ,2024-04-16 23:10:00,299.7248,299.7789,298.9968,299.7592
QQQ,2024-04-16 23:15:00,299.7395,300.3242,299.6263,300.1381
QQQ,2024-04-16 23:20:00,300.1086,300.4187,300.02,300.2956
QQQ,2024-04-16 23:25:00,300.2759,300.3743,299.5181,299.5195
QQQ,2024-04-16 23:30:00,299.5181,300.6348,299.4689,300.3054
QQQ,2024-04-16 23:35:00,300.2886,300.4482,299.7444,300.0496
QQQ,2024-04-16 23:40:00,300.0102,300.3447,299.5476,299.61
QQQ,2024-04-16 23:45:00,299.6017,299.7149,298.9472,299.2622
QQQ,2024-04-16 23:50:00,299.2671,299.9246,298.9866,299.9216
QQQ,2024-04-16 23:55:00,299.8773,300.1283,299.5968,299.9265
QQQ,2024-04-17 00:00:00,299.9511,300.3252,299.7485,299.9709
