unique_id,ds,Open,High,Low,Close
QQQ,2024-07-01 09:30:00,479.3683,479.7278,478.3297,478.4396
QQQ,2024-07-01 09:35:00,478.4496,479.4680,478.4196,479.0088
QQQ,2024-07-01 09:40:00,478.9688,478.9788,477.9802,478.0702
QQQ,2024-07-01 09:45:00,478.1200,478.2998,476.6721,476.7969
QQQ,2024-07-01 09:50:00,476.7819,476.9317,476.2776,476.5897
QQQ,2024-07-01 09:55:00,476.5922,477.5209,476.4524,477.4210
QQQ,2024-07-01 10:00:00,477.4510,478.2798,477.4210,478.0202
QQQ,2024-07-01 10:05:00,478.0852,478.4595,477.9103,478.1300
QQQ,2024-07-01 10:10:00,478.1100,478.1800,475.7808,475.7833
QQQ,2024-07-01 10:15:00,475.8183,478.1800,475.5886,478.0401
QQQ,2024-07-01 10:20:00,478.0451,478.7115,477.7306,478.2349
QQQ,2024-07-01 10:25:00,478.2399,478.7492,478.2299,478.5394
QQQ,2024-07-01 10:30:00,478.5694,478.6667,478.0202,478.0401
QQQ,2024-07-01 10:35:00,478.0302,478.8790,477.7406,477.7506
QQQ,2024-07-01 10:40:00,477.7456,478.1200,477.1514,477.9103
QQQ,2024-07-01 10:45:00,477.9503,478.2199,477.4510,477.5109
QQQ,2024-07-01 10:50:00,477.6107,478.1100,476.8318,476.8818
QQQ,2024-07-01 10:55:00,476.8918,478.0901,476.8518,477.8754
QQQ,2024-07-01 11:00:00,477.8504,478.0003,477.3611,477.7953
QQQ,2024-07-01 11:05:00,477.7941,478.0501,477.3811,477.6308
QQQ,2024-07-01 11:10:00,477.6107,478.7691,477.5043,478.7292
QQQ,2024-07-01 11:15:00,478.7492,478.7691,478.3697,478.4895
QQQ,2024-07-01 11:20:00,478.4883,478.5994,477.9802,478.2199
QQQ,2024-07-01 11:25:00,478.2299,479.0487,478.2199,478.9095
QQQ,2024-07-01 11:30:00,478.8890,478.8890,478.3996,478.8091
QQQ,2024-07-01 11:35:00,478.7991,478.9988,478.2648,478.4396
QQQ,2024-07-01 11:40:00,478.4216,479.0088,478.4096,478.4196
QQQ,2024-07-01 11:45:00,478.3897,479.1186,478.3797,478.8989
QQQ,2024-07-01 11:50:00,478.8598,479.3134,478.8590,479.2085
QQQ,2024-07-01 11:55:00,479.2085,479.5380,478.8790,479.5081
QQQ,2024-07-01 12:00:00,479.5081,479.5780,479.0887,479.2085
QQQ,2024-07-01 12:05:00,479.2085,480.2171,479.1985,480.2071
QQQ,2024-07-01 12:10:00,480.1871,480.4068,479.7777,480.3769
QQQ,2024-07-01 12:15:00,480.3669,480.5566,480.1472,480.3811
QQQ,2024-07-01 12:20:00,480.3869,480.5167,480.1172,480.2920
QQQ,2024-07-01 12:25:00,480.2870,480.5366,480.1572,480.4967
QQQ,2024-07-01 12:30:00,480.4767,480.5766,480.1472,480.1647
QQQ,2024-07-01 12:35:00,480.1971,480.6065,480.1772,480.4767
QQQ,2024-07-01 12:40:00,480.4767,480.4967,480.2371,480.4468
